id,left,top,right,bottom,calc_mean
"104",-13205.5966135323,6715673.54166601,-13032.3915327754,6715523.54166601,0.00336896047326989
"105",-13205.5966135323,6715523.54166601,-13032.3915327754,6715373.54166601,0.00352066566879943
"106",-13205.5966135323,6715373.54166601,-13032.3915327754,6715223.54166601,0.00370715949402533
"107",-13205.5966135323,6715223.54166601,-13032.3915327754,6715073.54166601,0.00360724599541705
"108",-13205.5966135323,6715073.54166601,-13032.3915327754,6714923.54166601,0.00486245384667499
"109",-13205.5966135323,6714923.54166601,-13032.3915327754,6714773.54166601,0.00683419040910813
"110",-13205.5966135323,6714773.54166601,-13032.3915327754,6714623.54166601,0.00458014367016952
"111",-13205.5966135323,6714623.54166601,-13032.3915327754,6714473.54166601,0.0046397700573049
"112",-13205.5966135323,6714473.54166601,-13032.3915327754,6714323.54166601,0.000562091251063508
"113",-13075.6928029646,6716498.54166601,-12902.4877222077,6716348.54166601,0.00448985496427537
"114",-13075.6928029646,6716348.54166601,-12902.4877222077,6716198.54166601,0.00669252813328058
"115",-13075.6928029646,6716198.54166601,-12902.4877222077,6716048.54166601,0.00694809252508022
"116",-13075.6928029646,6716048.54166601,-12902.4877222077,6715898.54166601,0.00563371635910859
"117",-13075.6928029646,6715898.54166601,-12902.4877222077,6715748.54166601,0.00730886296461213
"118",-13075.6928029646,6715748.54166601,-12902.4877222077,6715598.54166601,0.00605463579924008
"119",-13075.6928029646,6715598.54166601,-12902.4877222077,6715448.54166601,0.00347514795072693
"120",-13075.6928029646,6715448.54166601,-12902.4877222077,6715298.54166601,0.00296904385385441
"121",-13075.6928029646,6715298.54166601,-12902.4877222077,6715148.54166601,0.0040868483443736
"122",-13075.6928029646,6715148.54166601,-12902.4877222077,6714998.54166601,0.00372276571821252
"123",-13075.6928029646,6714998.54166601,-12902.4877222077,6714848.54166601,0.00487317673308966
"124",-13075.6928029646,6714848.54166601,-12902.4877222077,6714698.54166601,0.00688351162320096
"125",-13075.6928029646,6714698.54166601,-12902.4877222077,6714548.54166601,0.00331054076793709
"126",-13075.6928029646,6714548.54166601,-12902.4877222077,6714398.54166601,0.00233304359016919
"127",-12945.7889923969,6716423.54166601,-12772.58391164,6716273.54166601,0.00796770464165045
"128",-12945.7889923969,6716273.54166601,-12772.58391164,6716123.54166601,0.010929125714031
"129",-12945.7889923969,6716123.54166601,-12772.58391164,6715973.54166601,0.00717806841569918
"130",-12945.7889923969,6715973.54166601,-12772.58391164,6715823.54166601,0.00627190591118485
"131",-12945.7889923969,6715823.54166601,-12772.58391164,6715673.54166601,0.00890675757244237
"132",-12945.7889923969,6715673.54166601,-12772.58391164,6715523.54166601,0.00568258927690626
"133",-12945.7889923969,6715523.54166601,-12772.58391164,6715373.54166601,0.00642765350331174
"134",-12945.7889923969,6715373.54166601,-12772.58391164,6715223.54166601,0.00372686585794286
"135",-12945.7889923969,6715223.54166601,-12772.58391164,6715073.54166601,0.00359413992054227
"136",-12945.7889923969,6715073.54166601,-12772.58391164,6714923.54166601,0.00548422660448095
"137",-12945.7889923969,6714923.54166601,-12772.58391164,6714773.54166601,0.00731626880122861
"138",-12945.7889923969,6714773.54166601,-12772.58391164,6714623.54166601,0.0043240013371006
"139",-12945.7889923969,6714623.54166601,-12772.58391164,6714473.54166601,0.00952482774943558
"140",-12945.7889923969,6714473.54166601,-12772.58391164,6714323.54166601,0.000471150396259442
"141",-12815.8851818293,6716498.54166601,-12642.6801010724,6716348.54166601,0.00290430668476062
"142",-12815.8851818293,6716348.54166601,-12642.6801010724,6716198.54166601,0.00716603459020557
"143",-12815.8851818293,6716198.54166601,-12642.6801010724,6716048.54166601,0.00769855691673627
"144",-12815.8851818293,6716048.54166601,-12642.6801010724,6715898.54166601,0.00763991094691766
"145",-12815.8851818293,6715898.54166601,-12642.6801010724,6715748.54166601,0.00791702980149115
"146",-12815.8851818293,6715748.54166601,-12642.6801010724,6715598.54166601,0.0052301059343913
"147",-12815.8851818293,6715598.54166601,-12642.6801010724,6715448.54166601,0.00420703007916229
"148",-12815.8851818293,6715448.54166601,-12642.6801010724,6715298.54166601,0.00352392379849746
"149",-12815.8851818293,6715298.54166601,-12642.6801010724,6715148.54166601,0.00287439353106672
"150",-12815.8851818293,6715148.54166601,-12642.6801010724,6714998.54166601,0.00544845529071946
"151",-12815.8851818293,6714998.54166601,-12642.6801010724,6714848.54166601,0.00675591179519247
"152",-12815.8851818293,6714848.54166601,-12642.6801010724,6714698.54166601,0.00873587220110787
"153",-12815.8851818293,6714698.54166601,-12642.6801010724,6714548.54166601,0.00926033351400701
"154",-12815.8851818293,6714548.54166601,-12642.6801010724,6714398.54166601,0.00769855311123626
"155",-12685.9813712616,6716423.54166601,-12512.7762905047,6716273.54166601,0.00529043467496348
"156",-12685.9813712616,6716273.54166601,-12512.7762905047,6716123.54166601,0.00642783886271631
"157",-12685.9813712616,6716123.54166601,-12512.7762905047,6715973.54166601,0.00838568556226313
"158",-12685.9813712616,6715973.54166601,-12512.7762905047,6715823.54166601,0.00610165212721652
"159",-12685.9813712616,6715823.54166601,-12512.7762905047,6715673.54166601,0.00739336043283938
"160",-12685.9813712616,6715673.54166601,-12512.7762905047,6715523.54166601,0.00729327247576617
"161",-12685.9813712616,6715523.54166601,-12512.7762905047,6715373.54166601,0.00526956039700924
"162",-12685.9813712616,6715373.54166601,-12512.7762905047,6715223.54166601,0.00399563115714797
"163",-12685.9813712616,6715223.54166601,-12512.7762905047,6715073.54166601,0.00353168455165624
"164",-12685.9813712616,6715073.54166601,-12512.7762905047,6714923.54166601,0.00886870255852286
"165",-12685.9813712616,6714923.54166601,-12512.7762905047,6714773.54166601,0.00891618712201262
"166",-12685.9813712616,6714773.54166601,-12512.7762905047,6714623.54166601,0.0124636760751165
"167",-12685.9813712616,6714623.54166601,-12512.7762905047,6714473.54166601,0.0113955061396937
"168",-12685.9813712616,6714473.54166601,-12512.7762905047,6714323.54166601,0.000700737196637454
"169",-12556.0775606939,6716498.54166601,-12382.872479937,6716348.54166601,0.00675984157201644
"170",-12556.0775606939,6716348.54166601,-12382.872479937,6716198.54166601,0.00770738885519125
"171",-12556.0775606939,6716198.54166601,-12382.872479937,6716048.54166601,0.00563524210723477
"172",-12556.0775606939,6716048.54166601,-12382.872479937,6715898.54166601,0.00962539241382019
"173",-12556.0775606939,6715898.54166601,-12382.872479937,6715748.54166601,0.00720232210851092
"174",-12556.0775606939,6715748.54166601,-12382.872479937,6715598.54166601,0.00356049133594479
"175",-12556.0775606939,6715598.54166601,-12382.872479937,6715448.54166601,0.00485767684961839
"176",-12556.0775606939,6715448.54166601,-12382.872479937,6715298.54166601,0.003060407218656
"177",-12556.0775606939,6715298.54166601,-12382.872479937,6715148.54166601,0.00488874746299006
